Player,Pos,Age,Height,FG,3P,FT,TRB,AST,STL,BLK,PTS
Aaron Gordon,PF,23,81,0.449,0.349,0.731,7.8,4,0.8,0.8,17
Aaron Holiday,PG,22,73,0.401,0.339,0.82,3.7,4.8,1.2,0.7,16.4
Abdel Nader,SF,25,78,0.423,0.32,0.75,6,1,1,0.6,12.5
Al Horford,C,32,82,0.535,0.36,0.821,8.4,5.2,1.1,1.6,16.9
Alan Williams,PF,26,80,0.615,0,0.5,26.3,4.2,1.4,0,24.9
Alec Burks,SG,27,78,0.405,0.363,0.823,6.2,3.4,1,0.5,14.7
Álex Abrines,SG,25,78,0.357,0.323,0.923,2.9,1.2,1,0.4,10.1
Alex Caruso,PG,24,77,0.445,0.48,0.797,4.5,5.2,1.6,0.6,15.5
Alex Len,C,25,85,0.494,0.363,0.648,9.9,2,0.6,1.6,19.9
Alex Poythress,PF,25,81,0.494,0.391,0.621,9,2,0.5,1.2,12.6
Al-Farouq Aminu,PF,28,81,0.433,0.343,0.867,9.6,1.6,1.1,0.5,11.9
Alfonzo McKinnie,SF,26,80,0.487,0.356,0.563,8.9,1.1,0.6,0.5,12.1
Alize Johnson,PF,22,81,0.25,0.5,0.5,10.7,0.6,0.6,1.7,7.3
Allen Crabbe,SG,26,78,0.367,0.378,0.732,4.7,1.5,0.7,0.4,13.1
Allonzo Trier,SG,23,77,0.448,0.394,0.803,4.9,2.9,0.7,0.3,17.1
Amile Jefferson,PF,25,81,0.625,0,0.875,11.1,1.6,1.6,1.6,14.3
Amir Johnson,C,31,81,0.503,0.3,0.756,10,4.1,1.1,0.9,13.7
Andre Drummond,C,25,83,0.533,0.132,0.59,16.8,1.5,1.8,1.9,18.6
Andre Iguodala,SF,35,78,0.5,0.333,0.582,5.7,4.9,1.4,1.2,8.9
Andre Ingram,SG,33,75,0,0,,4.8,0,2.4,0,0
Andrew Bogut,C,34,84,0.5,0,1,14.8,3,0.8,2.1,10.5
Andrew Harrison,PG,24,78,0.302,0.2,0.944,3.9,4.6,0.8,0.4,10.4
Andrew Wiggins,SF,23,80,0.412,0.339,0.699,5,2.6,1,0.7,18.7
Anfernee Simons,SG,19,76,0.444,0.345,0.563,3.3,3.3,0.3,0,19.1
Ángel Delgado,C,24,82,0.2,0,0.5,9.6,0,2.4,0,7.2
Ante Žiži?,C,22,83,0.553,0,0.705,10.6,1.8,0.4,0.7,15.3
Anthony Davis,C,25,82,0.517,0.331,0.794,13.1,4.2,1.7,2.6,28.3
Anthony Tolliver,PF,33,80,0.382,0.377,0.783,5.9,1.5,0.6,0.7,10.9
Antonio Blakeney,SG,22,76,0.419,0.396,0.658,4.6,1.8,0.5,0.4,18.2
Aron Baynes,C,32,82,0.471,0.344,0.855,10.5,2.5,0.5,1.5,12.5
Austin Rivers,SG,26,76,0.406,0.318,0.526,2.9,3,0.8,0.4,11
Avery Bradley,SG,28,74,0.408,0.351,0.86,3.3,2.9,0.8,0.3,11.8
B.J. Johnson,SF,23,79,0.5,0.429,1,5.9,0,1.5,0,16.9
Bam Adebayo,C,21,82,0.576,0.2,0.735,11.2,3.5,1.3,1.2,13.7
Ben McLemore,SG,25,77,0.391,0.415,0.667,3.9,0.9,1.4,0.7,17.1
Ben Simmons,PG,22,82,0.563,0,0.6,9.3,8.1,1.5,0.8,17.8
Billy Garrett,SG,24,78,0.407,0,1,1.7,4,0.6,0.6,14.9
Bismack Biyombo,C,26,81,0.571,0,0.637,11.4,1.5,0.5,1.9,10.9
Blake Griffin,PF,29,82,0.462,0.362,0.753,7.8,5.5,0.7,0.4,25.3
Boban Marjanovi?,C,30,87,0.615,0.4,0.748,14,2.9,0.8,1.4,22.3
Bobby Portis,PF,23,83,0.444,0.393,0.794,11.2,2,1,0.6,19.7
Bogdan Bogdanovi?,SG,26,78,0.418,0.36,0.827,4.5,4.9,1.3,0.3,18.3
Bojan Bogdanovi?,SF,29,80,0.497,0.425,0.807,4.7,2.3,1,0,20.3
Bonzie Colson,SF,23,78,0.333,0.238,0.889,11,1.1,1.8,0.4,14.3
Brad Wanamaker,PG,29,76,0.476,0.41,0.857,4.3,5.9,1.3,0.2,14.7
Bradley Beal,SG,25,77,0.475,0.351,0.808,4.9,5.3,1.4,0.7,25
Brandon Goodwin,PG,23,74,0.261,0.333,0.818,1.9,8.8,0,0,14.5
Brandon Ingram,SF,21,81,0.497,0.33,0.675,5.5,3.2,0.6,0.6,19.4
Brandon Knight,PG,27,75,0.381,0.318,0.794,2.9,3.5,1,0.1,13
Brandon Sampson,SG,21,77,0.467,0.379,0.667,2.7,1.7,1.3,0.5,11.9
Brook Lopez,C,30,84,0.452,0.365,0.842,6.1,1.5,0.8,2.8,15.6
Bruce Brown,SG,22,77,0.398,0.258,0.75,4.6,2.3,1,0.9,7.9
Bruno Caboclo,SF,23,81,0.427,0.369,0.84,7.1,2.3,0.6,1.5,12.7
Bryn Forbes,SG,25,75,0.456,0.426,0.885,3.8,2.7,0.7,0.1,15.2
Buddy Hield,SG,26,76,0.458,0.427,0.886,5.7,2.8,0.8,0.5,23.3
C.J. Miles,SF,31,78,0.36,0.33,0.828,4,1.5,1.1,0.6,14.3
C.J. Williams,SG,28,77,0.486,0.313,0,2.3,3.4,1.7,0,11
Caleb Swanigan,PF,21,81,0.34,0.143,0.667,12.9,2.2,1.2,0.2,8.7
Cameron Payne,PG,24,75,0.43,0.298,0.805,3.6,5.4,1.4,0.5,12.6
Cameron Reynolds,SG,23,80,0.423,0.412,0.889,4.3,1.8,0.8,0.3,13.2
Caris LeVert,SF,24,79,0.429,0.312,0.691,5.1,5.3,1.4,0.5,18.5
Carmelo Anthony,PF,34,80,0.405,0.328,0.682,6.6,0.6,0.5,0.9,16.4
Cedi Osman,SF,23,80,0.427,0.348,0.779,5.3,2.9,0.9,0.2,14.6
Chandler Hutchison,SF,22,79,0.459,0.28,0.605,7.4,1.4,0.9,0.2,9.2
Chandler Parsons,SF,30,80,0.374,0.309,0.88,5.1,3.1,1.4,0.4,13.6
Channing Frye,C,35,84,0.368,0.405,0.786,5.5,2.1,0.6,0.5,13.6
Chasson Randle,PG,25,74,0.419,0.4,0.694,2.7,4.7,1.2,0.1,13.1
Cheick Diallo,PF,22,81,0.62,0.25,0.746,13.3,1.3,1.2,1.3,15.5
Chimezie Metu,PF,21,82,0.328,0,0.765,8.9,3.2,1.5,0.5,12.7
Chris Boucher,PF,26,82,0.447,0.324,0.867,12.4,0.4,1.3,5.3,20.5
Chris Chiozza,PG,23,72,0.25,0.4,,4.4,4.4,1.1,1.1,6.5
Chris Paul,PG,33,72,0.419,0.358,0.862,5.1,9.2,2.2,0.3,17.6
Christian Wood,PF,23,82,0.521,0.346,0.732,11.9,1.1,1,1.4,24.7
CJ McCollum,SG,27,75,0.459,0.375,0.828,4.3,3.1,0.8,0.4,22.3
Clint Capela,C,24,82,0.648,0,0.636,13.6,1.5,0.7,1.6,17.8
Cody Zeller,C,26,84,0.551,0.273,0.787,9.6,3,1.1,1.2,14.4
Collin Sexton,PG,20,74,0.43,0.402,0.839,3.3,3.4,0.6,0.1,18.9
Corey Brewer,SF,32,81,0.431,0.318,0.721,5.6,2.9,2.3,0.5,11
Cory Joseph,PG,27,75,0.412,0.322,0.698,4.9,5.6,1.6,0.4,9.4
Courtney Lee,SG,33,77,0.411,0.291,0.667,4.5,3.1,1.8,0.3,11.4
Cristiano Felício,C,26,82,0.531,0,0.685,10.5,1.8,0.5,0.3,11.6
D.J. Augustin,PG,31,72,0.47,0.421,0.866,3.2,6.8,0.8,0.1,15
D.J. Stephens,SG,28,77,0.5,0,,0,0,5.1,0,10.3
D.J. Wilson,PF,22,82,0.414,0.362,0.553,9.1,2.1,0.7,0.8,11.4
Dairis Bert?ns,SG,29,76,0.255,0.294,,1.9,2.2,0.2,0,7.3
Damian Jones,C,23,84,0.716,0,0.649,6.6,2.5,1.1,2.2,11.4
Damian Lillard,PG,28,75,0.444,0.369,0.912,4.7,7,1.1,0.4,26.2
Damion Lee,SG,26,78,0.441,0.397,0.864,6.1,1.2,1.2,0,15.2
